RawBandName,NodeId,BandName,FileName
M\u00f6tley Cr\u00fce,306,Mötley_Crüe,./Bands/Mötley_Crüe.txt
Mot\u00f6rhead,307,Motörhead,./Bands/Motörhead.txt
Mudvayne,308,Mudvayne,./Bands/Mudvayne.txt
Mumford & Sons,309,Mumford_&_Sons,./Bands/Mumford_&_Sons.txt
Michael Martin Murphey,310,Michael_Martin_Murphey,./Bands/Michael_Martin_Murphey.txt
Muse (band)|Muse,311,Muse_(band),./Bands/Muse_(band).txt
My Chemical Romance,312,My_Chemical_Romance,./Bands/My_Chemical_Romance.txt
New York Dolls,313,New_York_Dolls,./Bands/New_York_Dolls.txt
Nickelback,314,Nickelback,./Bands/Nickelback.txt
Stevie Nicks,315,Stevie_Nicks,./Bands/Stevie_Nicks.txt
Harry Nilsson,316,Harry_Nilsson,./Bands/Harry_Nilsson.txt
Nine Inch Nails,317,Nine_Inch_Nails,./Bands/Nine_Inch_Nails.txt
Nirvana (band)|Nirvana,318,Nirvana_(band),./Bands/Nirvana_(band).txt
No Doubt,319,No_Doubt,./Bands/No_Doubt.txt
Ted Nugent,320,Ted_Nugent,./Bands/Ted_Nugent.txt
Oasis (band)|Oasis,321,Oasis_(band),./Bands/Oasis_(band).txt
The Offspring,322,The_Offspring,./Bands/The_Offspring.txt
Roy Orbison,323,Roy_Orbison,./Bands/Roy_Orbison.txt
Ozzy Osbourne,324,Ozzy_Osbourne,./Bands/Ozzy_Osbourne.txt
Our Lady Peace,325,Our_Lady_Peace,./Bands/Our_Lady_Peace.txt
The Outfield,326,The_Outfield,./Bands/The_Outfield.txt
P.O.D.,327,P.O.D.,./Bands/P.O.D..txt
Panic! at the Disco,328,Panic!_at_the_Disco,./Bands/Panic!_at_the_Disco.txt
Pantera,329,Pantera,./Bands/Pantera.txt
Papa Roach,330,Papa_Roach,./Bands/Papa_Roach.txt
Paramore,331,Paramore,./Bands/Paramore.txt
Parliament (band),332,Parliament_(band),./Bands/Parliament_(band).txt
Parliament-Funkadelic,333,Parliament-Funkadelic,./Bands/Parliament-Funkadelic.txt
Pearl Jam,334,Pearl_Jam,./Bands/Pearl_Jam.txt
A Perfect Circle,335,A_Perfect_Circle,./Bands/A_Perfect_Circle.txt
Tom Petty,336,Tom_Petty,./Bands/Tom_Petty.txt
Tom Petty and the Heartbreakers,337,Tom_Petty_and_the_Heartbreakers,./Bands/Tom_Petty_and_the_Heartbreakers.txt
Pink Floyd,338,Pink_Floyd,./Bands/Pink_Floyd.txt
Pixies (band)|Pixies,339,Pixies_(band),./Bands/Pixies_(band).txt
Robert Plant,340,Robert_Plant,./Bands/Robert_Plant.txt
Poison (American band)|Poison,341,Poison_(American_band),./Bands/Poison_(American_band).txt
The Police,342,The_Police,./Bands/The_Police.txt
Iggy Pop,343,Iggy_Pop,./Bands/Iggy_Pop.txt
Pop Evil,344,Pop_Evil,./Bands/Pop_Evil.txt
The Presidents of the United States of America (band)|The Presidents of the United States of America,345,The_Presidents_of_the_United_States_of_America_(band),./Bands/The_Presidents_of_the_United_States_of_America_(band).txt
The Pretenders,346,The_Pretenders,./Bands/The_Pretenders.txt
Elvis Presley,347,Elvis_Presley,./Bands/Elvis_Presley.txt
The Pretty Reckless,348,The_Pretty_Reckless,./Bands/The_Pretty_Reckless.txt
Primus (band)|Primus,349,Primus_(band),./Bands/Primus_(band).txt
Puddle of Mudd,350,Puddle_of_Mudd,./Bands/Puddle_of_Mudd.txt
Queen (band)|Queen,351,Queen_(band),./Bands/Queen_(band).txt
Queens of the Stone Age,352,Queens_of_the_Stone_Age,./Bands/Queens_of_the_Stone_Age.txt
Queensr\u00ffche,353,Queensrÿche,./Bands/Queensrÿche.txt
Quiet Riot,354,Quiet_Riot,./Bands/Quiet_Riot.txt
R.E.M.,355,R.E.M.,./Bands/R.E.M..txt
Radiohead,356,Radiohead,./Bands/Radiohead.txt
Rage Against the Machine,357,Rage_Against_the_Machine,./Bands/Rage_Against_the_Machine.txt
Rainbow (rock band)|Rainbow,358,Rainbow_(rock_band),./Bands/Rainbow_(rock_band).txt
Rammstein,359,Rammstein,./Bands/Rammstein.txt
Ramones,360,Ramones,./Bands/Ramones.txt
Ratt,361,Ratt,./Bands/Ratt.txt
Red Hot Chili Peppers,362,Red_Hot_Chili_Peppers,./Bands/Red_Hot_Chili_Peppers.txt
Lou Reed,363,Lou_Reed,./Bands/Lou_Reed.txt
REO Speedwagon,364,REO_Speedwagon,./Bands/REO_Speedwagon.txt
Chris Rea,365,Chris_Rea,./Bands/Chris_Rea.txt
Rise Against,366,Rise_Against,./Bands/Rise_Against.txt
Sixto Rodriguez,367,Sixto_Rodriguez,./Bands/Sixto_Rodriguez.txt
